#,Pattern,,Time (msec),,,,,Cumulative
,,,Absolute,vs. best,vs. mean,vs. median,,
232,[42] N1 S4 S5 N5 N2 S5,2,943.0333333,16.46666667,-1.829508479,-0.9,0.00675,0.465033203
233,[103] N1 N2 S1 S2 N3 N5 N2 S1,0,943.0666667,16.5,-1.796175146,-0.866666667,0.000015625,0.465048828
234,[104] N1 S4 S5 N5 N3 S7,0,943.0666667,16.5,-1.796175146,-0.866666667,0.001,0.466048828
235,[105] N1 S4 S5 N5 N3 S3,0,943.1666667,16.6,-1.696175146,-0.766666667,0.0005,0.466548828
236,[69] N1 S1 N2 S5 N5 N3 S2,1,943.1666667,16.6,-1.696175146,-0.766666667,7.03E-05,0.466619141
237,[43] N1 S4 S5 N2 N5 S5,2,943.1666667,16.6,-1.696175146,-0.766666667,0.0016875,0.468306641
238,[21] N1 N2 S1 S2 N3 S3,3,943.1666667,16.6,-1.696175146,-0.766666667,0.000421875,0.468728516
239,[106] N1 S1 N2 N1 S1 N4 S8,0,943.2,16.63333333,-1.662841813,-0.733333333,0.0000625,0.468791016
240,[70] N1 S8 N4 S2 N3 S7,1,943.2,16.63333333,-1.662841813,-0.733333333,0.0045,0.473291016
241,[44] N1 S1 S2 N4 N6 S3,2,943.2333333,16.66666667,-1.629508479,-0.7,0.003375,0.476666016
242,[107] N1 N2 S1 S2 N4 N6 S3,0,943.2666667,16.7,-1.596175146,-0.666666667,0.000125,0.476791016
243,[108] N1 N2 S5 S4 N1 N2 S5,0,943.2666667,16.7,-1.596175146,-0.666666667,0.0005,0.477291016
244,[22] N1 S8 N4 S1 N1 S8,3,943.2666667,16.7,-1.596175146,-0.666666667,0.0016875,0.478978516
245,[109] N1 N2 S5 N5 N2 S1 N1 S8,0,943.3,16.73333333,-1.562841813,-0.633333333,0.000015625,0.478994141
246,[71] N1 N2 S1 N1 N2 S5 S4,1,943.3333333,16.76666667,-1.529508479,-0.6,0.00028125,0.479275391
247,[23] N1 N2 S5 S4 N1 S8,3,943.3333333,16.76666667,-1.529508479,-0.6,0.003375,0.482650391
248,[110] N1 N2 N5 S5 N2 S1 N1 S8,0,943.4,16.83333333,-1.462841813,-0.533333333,3.91E-06,0.482654297
249,[111] N1 S8 N4 S1 N1 N2 S5,0,943.4333333,16.86666667,-1.429508479,-0.5,0.00025,0.482904297
250,[72] N1 S1 N2 N1 S1 N2 N1 S1,1,943.4333333,16.86666667,-1.429508479,-0.5,7.03E-05,0.482974609
251,[24] N1 S8 N4 S2 S3,3,943.4333333,16.86666667,-1.429508479,-0.5,0.003375,0.486349609
252,[25] N1 S4 S5 N2 N1 S8,3,943.4333333,16.86666667,-1.429508479,-0.5,0.0016875,0.488037109
253,[112] N1 S1 N2 N1 S1 N2 N5 S7,0,943.4666667,16.9,-1.396175146,-0.466666667,7.81E-06,0.488044922
254,[73] N1 N2 N5 N3 S2 S1 N1 S8,1,943.4666667,16.9,-1.396175146,-0.466666667,7.03E-05,0.488115234
255,[45] N1 N2 S1 S2 N4 S8,2,943.4666667,16.9,-1.396175146,-0.466666667,0.000421875,0.488537109
256,[26] N1 N2 S1 S2 N3 S7,3,943.5,16.93333333,-1.362841813,-0.433333333,0.00084375,0.489380859
257,[46] N1 S1 N2 N1 S1 N2 S5,2,943.5333333,16.96666667,-1.329508479,-0.4,0.000210938,0.489591797
258,[47] N1 N2 S5 N5 S7 S6,2,943.5333333,16.96666667,-1.329508479,-0.4,0.0016875,0.491279297
259,[113] N1 S1 N2 N5 S5 N2 N1 S8,0,943.5666667,17,-1.296175146,-0.366666667,7.81E-06,0.491287109
260,[114] N1 S1 N4 S2 N3 S3,0,943.6,17.03333333,-1.262841813,-0.333333333,0.00025,0.491537109
261,[115] N1 S1 N2 S5 N5 N2 N1 S8,0,943.6,17.03333333,-1.262841813,-0.333333333,0.000015625,0.491552734
262,[116] N1 S8 N4 S2 N3 N5 S5,0,943.6333333,17.06666667,-1.229508479,-0.3,0.000125,0.491677734
263,[74] N1 N2 N5 S5 S4 N1 S1,1,943.6333333,17.06666667,-1.229508479,-0.3,0.001125,0.492802734
264,[27] N1 S1 N2 N5 S7 S6,3,943.6333333,17.06666667,-1.229508479,-0.3,0.000421875,0.493224609
265,[75] N1 S1 S2 N3 N5 N2 N1 S8,1,943.7,17.13333333,-1.162841813,-0.233333333,0.000140625,0.493365234
266,[76] N1 S4 S5 N5 N2 N1 S1,1,943.7,17.13333333,-1.162841813,-0.233333333,0.00225,0.495615234
267,[77] N1 S8 N4 S1 N2 N1 S8,1,943.7,17.13333333,-1.162841813,-0.233333333,0.0005625,0.496177734
268,[28] N1 S1 N2 N5 S5 S4,3,943.7,17.13333333,-1.162841813,-0.233333333,0.000421875,0.496599609
269,[78] N1 N2 S1 N1 S8 N4 S2,1,943.7333333,17.16666667,-1.129508479,-0.2,0.00028125,0.496880859
270,[117] N1 S8 N4 N6 S3 N3 S2,0,943.7666667,17.2,-1.096175146,-0.166666667,0.0005,0.497380859
271,[118] N1 S1 N4 S8 N1 N2 S5,0,943.7666667,17.2,-1.096175146,-0.166666667,0.00025,0.497630859
272,[119] N1 S8 N4 S1 N2 N5 S5,0,943.8666667,17.3,-0.996175146,-0.066666667,0.0000625,0.497693359
273,[120] N1 N2 S5 N5 N2 S5 S4,0,943.8666667,17.3,-0.996175146,-0.066666667,0.000125,0.497818359
274,[48] N1 S4 S5 N2 N5 S7,2,943.8666667,17.3,-0.996175146,-0.066666667,0.0016875,0.499505859
275,[121] N1 S1 N4 S2 N3 S7,0,943.9333333,17.36666667,-0.929508479,0,0.0005,0.500005859
276,[79] N1 N2 S1 N1 N2 S1 N1 S4,1,943.9333333,17.36666667,-0.929508479,0,3.52E-05,0.500041016
277,[49] N1 N2 S1 S2 N3 N5 S5,2,943.9333333,17.36666667,-0.929508479,0,0.000210938,0.500251953
278,[80] N1 S1 N2 N1 S8 N4 S2,1,943.9666667,17.4,-0.896175146,0.033333333,0.0005625,0.500814453
279,[81] N1 S1 N2 N1 S1 N2 N1 S4,1,944.0333333,17.46666667,-0.829508479,0.1,0.000140625,0.500955078
280,[29] N1 N2 S1 N1 N2 S1 S2,3,944.0333333,17.46666667,-0.829508479,0.1,5.27E-05,0.501007813
281,[122] N1 N2 S5 N5 N2 N1 S1 S2,0,944.0666667,17.5,-0.796175146,0.133333333,0.00003125,0.501039063
282,[82] N1 S1 N2 S5 N5 N2 S5,1,944.0666667,17.5,-0.796175146,0.133333333,0.000140625,0.501179688
283,[123] N1 S1 N2 N5 S7 N7 S3,0,944.1,17.53333333,-0.762841813,0.166666667,0.0000625,0.501242188
284,[124] N1 S8 N4 S2 N3 N5 S7,0,944.1,17.53333333,-0.762841813,0.166666667,0.000125,0.501367188
285,[125] N1 N2 N5 S5 N2 N1 S1 S2,0,944.1,17.53333333,-0.762841813,0.166666667,7.81E-06,0.501375
286,[50] N1 N2 N5 S5 S6 S7,2,944.1,17.53333333,-0.762841813,0.166666667,0.0016875,0.5030625
287,[51] N1 S1 S2 N3 N5 N2 S5,2,944.1333333,17.56666667,-0.729508479,0.2,0.000421875,0.503484375
288,[126] N1 N2 S1 S2 N3 N5 N2 S5,0,944.1666667,17.6,-0.696175146,0.233333333,0.000015625,0.5035
289,[52] N1 S1 N4 S2 S3,2,944.1666667,17.6,-0.696175146,0.233333333,0.003375,0.506875
290,[30] N1 N2 S5 S4 N1 S1,3,944.2,17.63333333,-0.662841813,0.266666667,0.00675,0.513625
291,[83] N1 S4 S5 N5 N2 N1 S4,1,944.2333333,17.66666667,-0.629508479,0.3,0.0045,0.518125
292,[84] N1 N2 S5 S4 N1 N2 S1,1,944.2333333,17.66666667,-0.629508479,0.3,0.001125,0.51925
293,[31] N1 S1 N2 S5 N5 S7,3,944.3333333,17.76666667,-0.529508479,0.4,0.000210938,0.519460938
294,[32] N1 S4 S5 N2 N1 S1,3,944.3333333,17.76666667,-0.529508479,0.4,0.0016875,0.521148438
295,[127] N1 S1 N2 N1 S1 N4 S2,0,944.3666667,17.8,-0.496175146,0.433333333,0.0000625,0.521210938
296,[53] N1 S8 N4 N6 S3 S2,2,944.3666667,17.8,-0.496175146,0.433333333,0.0135,0.534710938
297,[128] N1 N2 S1 N4 S2 S3,0,944.4,17.83333333,-0.462841813,0.466666667,0.000125,0.534835938
298,[85] N1 S8 N4 S1 N1 N2 S1,1,944.4,17.83333333,-0.462841813,0.466666667,0.0005625,0.535398438
299,[54] N1 N2 S1 S2 N3 N5 S7,2,944.4,17.83333333,-0.462841813,0.466666667,0.000210938,0.535609375
300,[86] N1 N2 S1 N1 N2 S5 S6,1,944.4333333,17.86666667,-0.429508479,0.5,0.000140625,0.53575
301,[33] N1 S1 N4 S8 N1 S1,3,944.4333333,17.86666667,-0.429508479,0.5,0.0016875,0.5374375
302,[129] N1 S1 N2 N5 S5 N2 N1 S1,0,944.4666667,17.9,-0.396175146,0.533333333,7.81E-06,0.537445313
303,[130] N1 S1 N2 S5 N5 N2 N1 S1,0,944.4666667,17.9,-0.396175146,0.533333333,0.000015625,0.537460938
304,[87] N1 N2 S1 N1 S8 N4 S1,1,944.5333333,17.96666667,-0.329508479,0.6,0.00028125,0.537742188
305,[34] N1 S1 N2 N5 S5 S6,3,944.5333333,17.96666667,-0.329508479,0.6,0.000210938,0.537953125
306,[131] N1 S8 N4 S1 N2 N5 S7,0,944.5666667,18,-0.296175146,0.633333333,0.0000625,0.538015625
307,[88] N1 S1 S2 N3 N5 N2 N1 S1,1,944.5666667,18,-0.296175146,0.633333333,0.000140625,0.53815625
308,[89] N1 S8 N4 S1 N2 N1 S1,1,944.5666667,18,-0.296175146,0.633333333,0.0005625,0.53871875
309,[90] N1 S1 N2 N5 N3 S2 S3,1,944.6333333,18.06666667,-0.229508479,0.7,0.000140625,0.538859375
310,[132] N1 N2 S5 N5 N3 S2 S3,0,944.6666667,18.1,-0.196175146,0.733333333,0.00003125,0.538890625
311,[91] N1 N2 S1 N4 S8 N1 S1,1,944.6666667,18.1,-0.196175146,0.733333333,0.0005625,0.539453125
312,[55] N1 S8 N4 S1 N2 S5,2,944.6666667,18.1,-0.196175146,0.733333333,0.0016875,0.541140625
313,[35] N1 S4 S5 N5 N2 S1,3,944.6666667,18.1,-0.196175146,0.733333333,0.003375,0.544515625
314,[133] N1 N2 N5 N3 S2 S1 N2 S5,0,944.7,18.13333333,-0.162841813,0.766666667,0.000015625,0.54453125
315,[92] N1 S1 N2 N1 S8 N4 S1,1,944.7666667,18.2,-0.096175146,0.833333333,0.0005625,0.54509375
316,[93] N1 S1 N4 S8 N1 N2 S1,1,944.7666667,18.2,-0.096175146,0.833333333,0.0005625,0.54565625
317,[56] N1 N2 N5 S7 S6 S5,2,944.8333333,18.26666667,-0.029508479,0.9,0.003375,0.54903125
318,[57] N1 N2 S1 N1 N2 S1 N1 S8,2,944.8333333,18.26666667,-0.029508479,0.9,2.64E-05,0.549057617
319,[36] N1 S4 S5 N5 N3 S2,3,944.8666667,18.3,0.003824854,0.933333333,0.0016875,0.550745117
320,[37] N1 S4 S5 N2 N1 S4,3,944.8666667,18.3,0.003824854,0.933333333,0.003375,0.554120117
321,[134] N1 N2 S5 N5 N2 S1 N1 S4,0,944.9,18.33333333,0.037158187,0.966666667,0.00003125,0.554151367
322,[38] N1 S8 N4 S1 N1 S4,3,944.9,18.33333333,0.037158187,0.966666667,0.003375,0.557526367
323,[135] N1 N2 S5 N5 N2 S5 S6,0,944.9666667,18.4,0.103824854,1.033333333,0.0000625,0.557588867
324,[136] N1 N2 N5 S5 N2 S1 N1 S4,0,945,18.43333333,0.137158187,1.066666667,7.81E-06,0.55759668
325,[137] N1 S1 N2 N5 S5 N2 N1 S4,0,945,18.43333333,0.137158187,1.066666667,0.000015625,0.557612305
326,[138] N1 N2 S1 N1 S8 N4 N6 S3,0,945,18.43333333,0.137158187,1.066666667,0.000125,0.557737305
327,[94] N1 S4 S5 N2 N5 N3 S2,1,945,18.43333333,0.137158187,1.066666667,0.0005625,0.558299805
328,[58] N1 N2 S5 N5 N2 S1 S2,2,945,18.43333333,0.137158187,1.066666667,0.000421875,0.55872168
329,[139] N1 N2 S5 N5 S7 N3 S2,0,945.0333333,18.46666667,0.170491521,1.1,0.00003125,0.55875293
330,[140] N1 S1 N2 S5 N5 N2 N1 S4,0,945.0333333,18.46666667,0.170491521,1.1,0.00003125,0.55878418
331,[95] N1 N2 N5 S7 N3 S2 S1,1,945.0333333,18.46666667,0.170491521,1.1,0.000140625,0.558924805
332,[96] N1 S1 N4 N6 S3 S2,1,945.0666667,18.5,0.203824854,1.133333333,0.0045,0.563424805
333,[97] N1 S1 S2 N3 N5 N2 N1 S4,1,945.1,18.53333333,0.237158187,1.166666667,0.00028125,0.563706055
334,[59] N1 N2 N5 S5 N2 S1 S2,2,945.1,18.53333333,0.237158187,1.166666667,0.000105469,0.563811523
335,[60] N1 S1 N2 N1 S1 N2 N1 S8,2,945.1,18.53333333,0.237158187,1.166666667,0.000105469,0.563916992
336,[98] N1 S1 N2 N5 S7 N3 S2,1,945.1333333,18.56666667,0.270491521,1.2,7.03E-05,0.563987305
337,[99] N1 N2 N5 N3 S2 S1 N1 S4,1,945.1333333,18.56666667,0.270491521,1.2,0.000140625,0.56412793
338,[100] N1 S8 N4 S1 N2 N1 S4,1,945.1333333,18.56666667,0.270491521,1.2,0.001125,0.56525293
339,[141] N1 N2 S1 N1 N2 N5 S7 S6,0,945.1666667,18.6,0.303824854,1.233333333,7.81E-06,0.565260742
340,[142] N1 N2 S1 N1 N2 N5 S5 S4,0,945.2,18.63333333,0.337158187,1.266666667,7.81E-06,0.565268555
341,[143] N1 S1 N2 N1 S8 N4 N6 S3,0,945.2333333,18.66666667,0.370491521,1.3,0.00025,0.565518555
342,[39] N1 S1 N4 S8 N1 S4,3,945.2333333,18.66666667,0.370491521,1.3,0.003375,0.568893555
343,[101] N1 S1 N2 N1 S1 N2 N5 S5,1,945.2666667,18.7,0.403824854,1.333333333,3.52E-05,0.568928711
344,[61] N1 N2 N5 S5 S4 N1 S8,2,945.2666667,18.7,0.403824854,1.333333333,0.00084375,0.569772461
345,[62] N1 S4 S5 N5 N2 N1 S8,2,945.3,18.73333333,0.437158187,1.366666667,0.003375,0.573147461
346,[63] N1 S8 N4 S2 N3 S3,2,945.3666667,18.8,0.503824854,1.433333333,0.003375,0.576522461
347,[64] N1 N2 S1 S2 N4 S1,2,945.4333333,18.86666667,0.570491521,1.5,0.000421875,0.576944336
348,[102] N1 N2 S1 N4 S8 N1 S4,1,945.4666667,18.9,0.603824854,1.533333333,0.001125,0.578069336
349,[65] N1 S1 N2 N5 S5 N2 S1,2,945.4666667,18.9,0.603824854,1.533333333,0.000105469,0.578174805
350,[66] N1 S1 N2 S5 N5 N2 S1,2,945.4666667,18.9,0.603824854,1.533333333,0.000210938,0.578385742
351,[67] N1 N2 S1 N4 S2 S1,2,945.4666667,18.9,0.603824854,1.533333333,0.00084375,0.579229492
352,[40] N1 S1 N2 N5 N3 S2 S1,3,945.4666667,18.9,0.603824854,1.533333333,0.000210938,0.57944043
353,[144] N1 S8 N4 N6 S3 N7 S7,0,945.5,18.93333333,0.637158187,1.566666667,0.004,0.58344043
354,[68] N1 N2 S5 N5 N3 S2 S1,2,945.5333333,18.96666667,0.670491521,1.6,0.000421875,0.583862305
355,[41] N1 S1 S2 N3 N5 N2 S1,3,945.5333333,18.96666667,0.670491521,1.6,0.000210938,0.584073242
356,[42] N1 S4 S5 N5 N2 S5,3,945.5333333,18.96666667,0.670491521,1.6,0.003375,0.587448242
357,[103] N1 N2 S1 S2 N3 N5 N2 S1,1,945.5666667,19,0.703824854,1.633333333,7.03E-05,0.587518555
358,[104] N1 S4 S5 N5 N3 S7,1,945.5666667,19,0.703824854,1.633333333,0.0045,0.592018555
359,[145] N1 S1 N2 N5 N3 S7 S6,0,945.6,19.03333333,0.737158187,1.666666667,0.000125,0.592143555
360,[105] N1 S4 S5 N5 N3 S3,1,945.6666667,19.1,0.803824854,1.733333333,0.00225,0.594393555
361,[69] N1 S1 N2 S5 N5 N3 S2,2,945.6666667,19.1,0.803824854,1.733333333,0.000105469,0.594499023
362,[43] N1 S4 S5 N2 N5 S5,3,945.6666667,19.1,0.803824854,1.733333333,0.00084375,0.595342773
363,[106] N1 S1 N2 N1 S1 N4 S8,1,945.7,19.13333333,0.837158187,1.766666667,0.00028125,0.595624023
364,[70] N1 S8 N4 S2 N3 S7,2,945.7,19.13333333,0.837158187,1.766666667,0.00675,0.602374023
365,[44] N1 S1 S2 N4 N6 S3,3,945.7333333,19.16666667,0.870491521,1.8,0.0016875,0.604061523
366,[107] N1 N2 S1 S2 N4 N6 S3,1,945.7666667,19.2,0.903824854,1.833333333,0.0005625,0.604624023
367,[108] N1 N2 S5 S4 N1 N2 S5,1,945.7666667,19.2,0.903824854,1.833333333,0.00225,0.606874023
368,[146] N1 S1 N2 N5 S5 N2 N5 S5,0,945.8,19.23333333,0.937158187,1.866666667,3.91E-06,0.60687793
369,[109] N1 N2 S5 N5 N2 S1 N1 S8,1,945.8,19.23333333,0.937158187,1.866666667,7.03E-05,0.606948242
370,[147] N1 N2 S1 N1 N2 S5 N5 S7,0,945.8333333,19.26666667,0.970491521,1.9,7.81E-06,0.606956055
371,[71] N1 N2 S1 N1 N2 S5 S4,2,945.8333333,19.26666667,0.970491521,1.9,0.000421875,0.60737793
372,[110] N1 N2 N5 S5 N2 S1 N1 S8,1,945.9,19.33333333,1.037158187,1.966666667,1.76E-05,0.607395508
373,[148] N1 N2 S1 N1 N2 S1 N1 N2 S1,0,945.9333333,19.36666667,1.070491521,2,9.77E-07,0.607396484
374,[111] N1 S8 N4 S1 N1 N2 S5,1,945.9333333,19.36666667,1.070491521,2,0.001125,0.608521484
375,[72] N1 S1 N2 N1 S1 N2 N1 S1,2,945.9333333,19.36666667,1.070491521,2,0.000105469,0.608626953
376,[112] N1 S1 N2 N1 S1 N2 N5 S7,1,945.9666667,19.4,1.103824854,2.033333333,3.52E-05,0.608662109
377,[73] N1 N2 N5 N3 S2 S1 N1 S8,2,945.9666667,19.4,1.103824854,2.033333333,0.000105469,0.608767578
378,[45] N1 N2 S1 S2 N4 S8,3,945.9666667,19.4,1.103824854,2.033333333,0.000210938,0.608978516
379,[46] N1 S1 N2 N1 S1 N2 S5,3,946.0333333,19.46666667,1.170491521,2.1,0.000105469,0.609083984
380,[47] N1 N2 S5 N5 S7 S6,3,946.0333333,19.46666667,1.170491521,2.1,0.00084375,0.609927734
381,[149] N1 N2 S1 N1 N2 N5 S5 S6,0,946.0666667,19.5,1.203824854,2.133333333,3.91E-06,0.609931641
382,[113] N1 S1 N2 N5 S5 N2 N1 S8,1,946.0666667,19.5,1.203824854,2.133333333,3.52E-05,0.609966797
383,[114] N1 S1 N4 S2 N3 S3,1,946.1,19.53333333,1.237158187,2.166666667,0.001125,0.611091797
384,[115] N1 S1 N2 S5 N5 N2 N1 S8,1,946.1,19.53333333,1.237158187,2.166666667,7.03E-05,0.611162109
385,[116] N1 S8 N4 S2 N3 N5 S5,1,946.1333333,19.56666667,1.270491521,2.2,0.0005625,0.611724609
386,[74] N1 N2 N5 S5 S4 N1 S1,2,946.1333333,19.56666667,1.270491521,2.2,0.0016875,0.613412109
387,[150] N1 N2 N5 S5 S4 N1 N2 S1,0,946.1666667,19.6,1.303824854,2.233333333,0.00003125,0.613443359
388,[75] N1 S1 S2 N3 N5 N2 N1 S8,2,946.2,19.63333333,1.337158187,2.266666667,0.000210938,0.613654297
389,[76] N1 S4 S5 N5 N2 N1 S1,2,946.2,19.63333333,1.337158187,2.266666667,0.003375,0.617029297
390,[77] N1 S8 N4 S1 N2 N1 S8,2,946.2,19.63333333,1.337158187,2.266666667,0.00084375,0.617873047
391,[151] N1 N2 S1 S2 N3 N5 N2 N1 S8,0,946.2333333,19.66666667,1.370491521,2.3,7.81E-06,0.617880859
392,[78] N1 N2 S1 N1 S8 N4 S2,2,946.2333333,19.66666667,1.370491521,2.3,0.000421875,0.618302734
393,[152] N1 N2 N5 N3 S2 S1 N2 N1 S8,0,946.2666667,19.7,1.403824854,2.333333333,7.81E-06,0.618310547
394,[117] N1 S8 N4 N6 S3 N3 S2,1,946.2666667,19.7,1.403824854,2.333333333,0.00225,0.620560547
395,[118] N1 S1 N4 S8 N1 N2 S5,1,946.2666667,19.7,1.403824854,2.333333333,0.001125,0.621685547
396,[153] N1 S1 N2 S5 N5 N3 S7,0,946.3666667,19.8,1.503824854,2.433333333,0.00003125,0.621716797
397,[119] N1 S8 N4 S1 N2 N5 S5,1,946.3666667,19.8,1.503824854,2.433333333,0.00028125,0.621998047
398,[120] N1 N2 S5 N5 N2 S5 S4,1,946.3666667,19.8,1.503824854,2.433333333,0.0005625,0.622560547
399,[48] N1 S4 S5 N2 N5 S7,3,946.3666667,19.8,1.503824854,2.433333333,0.00084375,0.623404297
400,[121] N1 S1 N4 S2 N3 S7,1,946.4333333,19.86666667,1.570491521,2.5,0.00225,0.625654297
401,[79] N1 N2 S1 N1 N2 S1 N1 S4,2,946.4333333,19.86666667,1.570491521,2.5,5.27E-05,0.625707031
402,[49] N1 N2 S1 S2 N3 N5 S5,3,946.4333333,19.86666667,1.570491521,2.5,0.000105469,0.6258125
403,[154] N1 S1 N2 S5 N5 N3 S3,0,946.4666667,19.9,1.603824854,2.533333333,0.000015625,0.625828125
404,[80] N1 S1 N2 N1 S8 N4 S2,2,946.4666667,19.9,1.603824854,2.533333333,0.00084375,0.626671875
405,[155] N1 S1 N2 N5 S5 N2 N5 S7,0,946.5,19.93333333,1.637158187,2.566666667,3.91E-06,0.626675781
406,[156] N1 N2 S5 N5 S7 N7 S3,0,946.5,19.93333333,1.637158187,2.566666667,0.000125,0.626800781
407,[81] N1 S1 N2 N1 S1 N2 N1 S4,2,946.5333333,19.96666667,1.670491521,2.6,0.000210938,0.627011719
408,[122] N1 N2 S5 N5 N2 N1 S1 S2,1,946.5666667,20,1.703824854,2.633333333,0.000140625,0.627152344
409,[82] N1 S1 N2 S5 N5 N2 S5,2,946.5666667,20,1.703824854,2.633333333,0.000210938,0.627363281
410,[123] N1 S1 N2 N5 S7 N7 S3,1,946.6,20.03333333,1.737158187,2.666666667,0.00028125,0.627644531
411,[124] N1 S8 N4 S2 N3 N5 S7,1,946.6,20.03333333,1.737158187,2.666666667,0.0005625,0.628207031
412,[125] N1 N2 N5 S5 N2 N1 S1 S2,1,946.6,20.03333333,1.737158187,2.666666667,3.52E-05,0.628242188
413,[50] N1 N2 N5 S5 S6 S7,3,946.6,20.03333333,1.737158187,2.666666667,0.00084375,0.629085938
414,[51] N1 S1 S2 N3 N5 N2 S5,3,946.6333333,20.06666667,1.770491521,2.7,0.000210938,0.629296875
415,[157] N1 N2 N5 S7 N3 S2 S3,0,946.6666667,20.1,1.803824854,2.733333333,0.000015625,0.6293125
416,[126] N1 N2 S1 S2 N3 N5 N2 S5,1,946.6666667,20.1,1.803824854,2.733333333,7.03E-05,0.629382813
417,[52] N1 S1 N4 S2 S3,3,946.6666667,20.1,1.803824854,2.733333333,0.0016875,0.631070313
418,[83] N1 S4 S5 N5 N2 N1 S4,2,946.7333333,20.16666667,1.870491521,2.8,0.00675,0.637820313
419,[84] N1 N2 S5 S4 N1 N2 S1,2,946.7333333,20.16666667,1.870491521,2.8,0.0016875,0.639507813
420,[158] N1 S1 N4 S2 N3 N5 S5,0,946.8666667,20.3,2.003824854,2.933333333,0.0000625,0.639570313
421,[127] N1 S1 N2 N1 S1 N4 S2,1,946.8666667,20.3,2.003824854,2.933333333,0.00028125,0.639851563
422,[53] N1 S8 N4 N6 S3 S2,3,946.8666667,20.3,2.003824854,2.933333333,0.00675,0.646601563
423,[128] N1 N2 S1 N4 S2 S3,1,946.9,20.33333333,2.037158187,2.966666667,0.0005625,0.647164063
424,[85] N1 S8 N4 S1 N1 N2 S1,2,946.9,20.33333333,2.037158187,2.966666667,0.00084375,0.648007813
425,[54] N1 N2 S1 S2 N3 N5 S7,3,946.9,20.33333333,2.037158187,2.966666667,0.000105469,0.648113281
426,[86] N1 N2 S1 N1 N2 S5 S6,2,946.9333333,20.36666667,2.070491521,3,0.000210938,0.648324219
427,[159] N1 S1 N4 N6 S3 N3 S2,0,946.9666667,20.4,2.103824854,3.033333333,0.00025,0.648574219
428,[160] N1 N2 S1 N1 N2 N5 N3 S2 S1,0,946.9666667,20.4,2.103824854,3.033333333,3.91E-06,0.648578125
429,[129] N1 S1 N2 N5 S5 N2 N1 S1,1,946.9666667,20.4,2.103824854,3.033333333,3.52E-05,0.648613281
430,[130] N1 S1 N2 S5 N5 N2 N1 S1,1,946.9666667,20.4,2.103824854,3.033333333,7.03E-05,0.648683594
431,[87] N1 N2 S1 N1 S8 N4 S1,2,947.0333333,20.46666667,2.170491521,3.1,0.000421875,0.649105469
432,[131] N1 S8 N4 S1 N2 N5 S7,1,947.0666667,20.5,2.203824854,3.133333333,0.00028125,0.649386719
433,[88] N1 S1 S2 N3 N5 N2 N1 S1,2,947.0666667,20.5,2.203824854,3.133333333,0.000210938,0.649597656
434,[89] N1 S8 N4 S1 N2 N1 S1,2,947.0666667,20.5,2.203824854,3.133333333,0.00084375,0.650441406
435,[161] N1 S1 N2 N1 S1 N2 N5 N3 S2,0,947.1,20.53333333,2.237158187,3.166666667,3.91E-06,0.650445313
436,[162] N1 N2 N5 N3 S2 S1 N1 N2 S1,0,947.1,20.53333333,2.237158187,3.166666667,3.91E-06,0.650449219
437,[163] N1 N2 S1 S2 N3 N5 N2 N1 S1,0,947.1,20.53333333,2.237158187,3.166666667,7.81E-06,0.650457031
438,[164] N1 N2 N5 N3 S2 S1 N2 N1 S1,0,947.1333333,20.56666667,2.270491521,3.2,7.81E-06,0.650464844
439,[90] N1 S1 N2 N5 N3 S2 S3,2,947.1333333,20.56666667,2.270491521,3.2,0.000210938,0.650675781
440,[132] N1 N2 S5 N5 N3 S2 S3,1,947.1666667,20.6,2.303824854,3.233333333,0.000140625,0.650816406
441,[91] N1 N2 S1 N4 S8 N1 S1,2,947.1666667,20.6,2.303824854,3.233333333,0.00084375,0.651660156
442,[55] N1 S8 N4 S1 N2 S5,3,947.1666667,20.6,2.303824854,3.233333333,0.00084375,0.652503906
443,[133] N1 N2 N5 N3 S2 S1 N2 S5,1,947.2,20.63333333,2.337158187,3.266666667,7.03E-05,0.652574219
444,[165] N1 S1 N2 N5 N3 S3 S2,0,947.2333333,20.66666667,2.370491521,3.3,0.00003125,0.652605469
445,[92] N1 S1 N2 N1 S8 N4 S1,2,947.2666667,20.7,2.403824854,3.333333333,0.00084375,0.653449219
446,[93] N1 S1 N4 S8 N1 N2 S1,2,947.2666667,20.7,2.403824854,3.333333333,0.00084375,0.654292969
447,[166] N1 S1 N4 S2 N3 N5 S7,0,947.3333333,20.76666667,2.470491521,3.4,0.0000625,0.654355469
448,[56] N1 N2 N5 S7 S6 S5,3,947.3333333,20.76666667,2.470491521,3.4,0.0016875,0.656042969
449,[57] N1 N2 S1 N1 N2 S1 N1 S8,3,947.3333333,20.76666667,2.470491521,3.4,1.32E-05,0.656056152
450,[167] N1 N2 N5 N3 S3 S2 S1,0,947.3666667,20.8,2.503824854,3.433333333,0.00003125,0.656087402
451,[134] N1 N2 S5 N5 N2 S1 N1 S4,1,947.4,20.83333333,2.537158187,3.466666667,0.000140625,0.656228027
452,[168] N1 N2 S1 N1 N2 S1 N1 N2 S5,0,947.4666667,20.9,2.603824854,3.533333333,1.95E-06,0.65622998
453,[135] N1 N2 S5 N5 N2 S5 S6,1,947.4666667,20.9,2.603824854,3.533333333,0.00028125,0.65651123
454,[169] N1 N2 S1 N4 S8 N1 N2 S1,0,947.5,20.93333333,2.637158187,3.566666667,0.00003125,0.65654248
